"Date","count","covid_case","covid_trend"
2011-05-05,1209,0,0
2011-05-06,2942,0,0
2011-05-07,1510,0,0
2011-05-08,1253,0,0
2011-05-09,2860,0,0
2011-05-10,1006,0,0
2011-05-11,3044,0,0
2011-05-12,2846,0,0
2011-05-13,3012,0,0
2011-05-14,1471,0,0
2011-05-15,1250,0,0
2011-05-16,3085,0,0
2011-05-17,3083,0,0
2011-05-18,3005,0,0
2011-05-19,2823,0,0
2011-05-20,3024,0,0
2011-05-21,1529,0,0
2011-05-22,1352,0,0
2011-05-23,2972,0,0
2011-05-24,3087,0,0
2011-05-25,3095,0,0
2011-05-26,2790,0,0
2011-05-27,2978,0,0
2011-05-28,1492,0,0
2011-05-29,1281,0,0
2011-05-30,3042,0,0
2011-05-31,3054,0,0
2011-06-01,2989,0,0
2011-06-02,2870,0,0
2011-06-03,3009,0,0
2011-06-04,1512,0,0
2011-06-05,1212,0,0
2011-06-06,1222,0,0
2011-06-07,3043,0,0
2011-06-08,3033,0,0
2011-06-09,2737,0,0
2011-06-10,2879,0,0
2011-06-11,1456,0,0
2011-06-12,1280,0,0
2011-06-13,3050,0,0
2011-06-14,3032,0,0
2011-06-15,3001,0,0
2011-06-16,2822,0,0
2011-06-17,2957,0,0
2011-06-18,1491,0,0
2011-06-19,1356,0,0
2011-06-20,3050,0,0
2011-06-21,3056,0,0
2011-06-22,3020,0,0
2011-06-23,2725,0,0
2011-06-24,2903,0,0
2011-06-25,1450,0,0
2011-06-26,1181,0,0
2011-06-27,2981,0,0
2011-06-28,3074,0,0
2011-06-29,2618,0,0
2011-06-30,2725,0,0
2011-07-01,3056,0,0
2011-07-02,1508,0,0
2011-07-03,1226,0,0
2011-07-04,3020,0,0
2011-07-05,2993,0,0
2011-07-06,3068,0,0
2011-07-07,2834,0,0
2011-07-08,3013,0,0
2011-07-09,1444,0,0
2011-07-10,1244,0,0
2011-07-11,3005,0,0
2011-07-12,2891,0,0
2011-07-13,3181,0,0
2011-07-14,2795,0,0
2011-07-15,2943,0,0
2011-07-16,1449,0,0
2011-07-17,1287,0,0
2011-07-18,3105,0,0
2011-07-19,3044,0,0
2011-07-20,3064,0,0
2011-07-21,2833,0,0
2011-07-22,2981,0,0
2011-07-23,1464,0,0
2011-07-24,1273,0,0
2011-07-25,3021,0,0
2011-07-26,3041,0,0
2011-07-27,2159,0,0
2011-07-28,2250,0,0
2011-07-29,2802,0,0
2011-07-30,1453,0,0
2011-07-31,1273,0,0
2011-08-01,2732,0,0
2011-08-02,2704,0,0
2011-08-03,2812,0,0
2011-08-04,2673,0,0
2011-08-05,2898,0,0
2011-08-06,1413,0,0
2011-08-07,1280,0,0
2011-08-08,2881,0,0
2011-08-09,2933,0,0
2011-08-10,2947,0,0
2011-08-11,2797,0,0
2011-08-12,2926,0,0
2011-08-13,1361,0,0
2011-08-14,1146,0,0
2011-08-15,1247,0,0
2011-08-16,3004,0,0
2011-08-17,2897,0,0
2011-08-18,2759,0,0
2011-08-19,2930,0,0
2011-08-20,1501,0,0
2011-08-21,1341,0,0
2011-08-22,3056,0,0
2011-08-23,3050,0,0
2011-08-24,3028,0,0
2011-08-25,2831,0,0
2011-08-26,2907,0,0
2011-08-27,1438,0,0
2011-08-28,1346,0,0
2011-08-29,3017,0,0
2011-08-30,2959,0,0
2011-08-31,2922,0,0
2011-09-01,2800,0,0
2011-09-02,3081,0,0
2011-09-03,1578,0,0
2011-09-04,1292,0,0
2011-09-05,3106,0,0
2011-09-06,3012,0,0
2011-09-07,3028,0,0
2011-09-08,2915,0,0
2011-09-09,2857,0,0
2011-09-10,1334,0,0
2011-09-11,1237,0,0
2011-09-12,1065,0,0
2011-09-13,1169,0,0
2011-09-14,2958,0,0
2011-09-15,3018,0,0
2011-09-16,3055,0,0
2011-09-17,1528,0,0
2011-09-18,1274,0,0
